,time,x,y,z
0,0.00000000000000e+000,3.89043788451345e+006,5.43718944150409e+006,4.85248619692010e+006
1,3.00000000000000e+001,3.81868468076587e+006,5.58406933950388e+006,4.74155214953108e+006
2,6.00000000000000e+001,3.74515720413132e+006,5.72774306414360e+006,4.62759728244531e+006
3,9.00000000000000e+001,3.66988753958158e+006,5.86812747443310e+006,4.51069406339904e+006
4,1.20000000000000e+002,3.59290851910075e+006,6.00514135959791e+006,4.39091684863680e+006
5,1.50000000000000e+002,3.51425370981896e+006,6.13870548824096e+006,4.26834183591417e+006
6,1.80000000000000e+002,3.43395740185238e+006,6.26874265634479e+006,4.14304701625822e+006
7,2.10000000000000e+002,3.35205459584924e+006,6.39517773408052e+006,4.01511212451269e+006
8,2.40000000000000e+002,3.26858099024324e+006,6.51793771138806e+006,3.88461858869756e+006
9,2.70000000000000e+002,3.18357296821576e+006,6.63695174229330e+006,3.75164947821382e+006
10,3.00000000000000e+002,3.09706758436701e+006,6.75215118793005e+006,3.61628945092348e+006
11,3.30000000000000e+002,3.00910255109976e+006,6.86346965823187e+006,3.47862469913986e+006
12,3.60000000000000e+002,2.91971622471546e+006,6.97084305226382e+006,3.33874289455925e+006
13,3.90000000000000e+002,2.82894759122703e+006,7.07420959716085e+006,3.19673313217166e+006
14,4.20000000000000e+002,2.73683625188938e+006,7.17350988564378e+006,3.05268587318447e+006
15,4.50000000000000e+002,2.64342240845158e+006,7.26868691208217e+006,2.90669288699792e+006
16,4.80000000000000e+002,2.54874684813324e+006,7.35968610707620e+006,2.75884719226942e+006
17,5.10000000000000e+002,2.45285092832915e+006,7.44645537052928e+006,2.60924299710699e+006
18,5.40000000000000e+002,2.35577656104535e+006,7.52894510318544e+006,2.45797563843087e+006
19,5.70000000000000e+002,2.25756619707211e+006,7.60710823660490e+006,2.30514152054688e+006
20,6.00000000000000e+002,2.15826280989660e+006,7.68090026155502e+006,2.15083805297068e+006
21,6.30000000000000e+002,2.05790987936150e+006,7.75027925479213e+006,1.99516358754883e+006
22,6.60000000000000e+002,1.95655137507404e+006,7.81520590421326e+006,1.83821735491892e+006
23,6.90000000000000e+002,1.85423173957078e+006,7.87564353235703e+006,1.68009940035402e+006
24,7.20000000000000e+002,1.75099587124444e+006,7.93155811823442e+006,1.52091051903752e+006
25,7.50000000000000e+002,1.64688910703834e+006,7.98291831747180e+006,1.36075219081378e+006
26,7.80000000000000e+002,1.54195720491497e+006,8.02969548075002e+006,1.19972651446182e+006
27,8.10000000000000e+002,1.43624632610492e+006,8.07186367052466e+006,1.03793614153950e+006
28,8.40000000000000e+002,1.32980301714390e+006,8.10939967601408e+006,8.75484209846408e+005
29,8.70000000000000e+002,1.22267419170386e+006,8.14228302644367e+006,7.12474276553460e+005
30,9.00000000000000e+002,1.11490711222621e+006,8.17049600253610e+006,5.49010251048180e+005
31,9.30000000000000e+002,1.00654937136480e+006,8.19402364623889e+006,3.85196327545488e+005
32,9.60000000000000e+002,8.97648873245756e+005,8.21285376868254e+006,2.21136917512347e+005
33,9.90000000000000e+002,7.88253814552823e+005,8.22697695636371e+006,5.69365819569300e+004
34,1.02000000000000e+003,6.78412665446253e+005,8.23638657554986e+006,-1.07300036367927e+005
35,1.05000000000000e+003,5.68174150322582e+005,8.24107877490341e+006,-2.71468280798580e+005
36,1.08000000000000e+003,4.57587228425559e+005,8.24105248632479e+006,-4.35463548578973e+005
37,1.11000000000000e+003,3.46701074314727e+005,8.23630942401599e+006,-5.99181358616956e+005
38,1.14000000000000e+003,2.35565058201892e+005,8.22685408176732e+006,-7.62517419126391e+005
39,1.17000000000000e+003,1.24228726163317e+005,8.21269372847201e+006,-9.25367695106790e+005
40,1.20000000000000e+003,1.27417802367308e+004,8.19383840187487e+006,-1.08762847561110e+006
41,1.23000000000000e+003,-9.88459415878095e+004,8.17030090056285e+006,-1.24919644075211e+006
