,time,x,y,z
0,0.00000000000000e+000,-6.92391656613160e+006,1.45511948346796e+005,-1.93100877537512e+005
1,6.00000000000000e+001,-6.92485476668651e+006,-1.28327442021225e+005,1.70296267406061e+005
2,1.20000000000000e+002,-6.89592226927161e+006,-4.01613285724224e+005,5.32958831114291e+005
3,1.80000000000000e+002,-6.83724387562223e+006,-6.73166750978474e+005,8.93322450973021e+005
4,2.40000000000000e+002,-6.74907269784441e+006,-9.41816478698974e+005,1.24983268097424e+006
5,3.00000000000000e+002,-6.63178906660353e+006,-1.20640363521386e+006,1.60095169689459e+006
6,3.60000000000000e+002,-6.48589889054947e+006,-1.46578691094982e+006,1.94516492977494e+006
7,4.20000000000000e+002,-6.31203147405502e+006,-1.71884744352651e+006,2.28098759908733e+006
8,4.80000000000000e+002,-6.11093680268088e+006,-1.96449364402380e+006,2.60697111740800e+006
9,5.40000000000000e+002,-5.88348230807641e+006,-2.20166590560377e+006,2.92170933896970e+006
10,6.00000000000000e+002,-5.63064912627107e+006,-2.42934117417631e+006,3.22384462513992e+006
11,6.60000000000000e+002,-5.35352786549633e+006,-2.64653736139272e+006,3.51207370066115e+006
12,7.20000000000000e+002,-5.05331390179409e+006,-2.85231758093161e+006,3.78515327539215e+006
13,7.80000000000000e+002,-4.73130222270390e+006,-3.04579418980363e+006,4.04190540730044e+006
14,8.40000000000000e+002,-4.38888184127122e+006,-3.22613261724266e+006,4.28122258357257e+006
15,9.00000000000000e+002,-4.02752980447206e+006,-3.39255496466744e+006,4.50207249792454e+006
16,9.60000000000000e+002,-3.64880482189900e+006,-3.54434336118497e+006,4.70350250350519e+006
17,1.02000000000000e+003,-3.25434054219150e+006,-3.68084306016149e+006,4.88464372218473e+006
18,1.08000000000000e+003,-2.84583850621301e+006,-3.80146526350399e+006,5.04471479250283e+006
19,1.14000000000000e+003,-2.42506080737168e+006,-3.90568966146937e+006,5.18302524010930e+006
20,1.20000000000000e+003,-1.99382249074471e+006,-3.99306667704591e+006,5.29897845615880e+006
21,1.26000000000000e+003,-1.55398372379306e+006,-4.06321940522553e+006,5.39207427081210e+006
22,1.32000000000000e+003,-1.10744177243866e+006,-4.11584523880190e+006,5.46191111074308e+006
23,1.38000000000000e+003,-6.56122817115478e+005,-4.15071717368133e+006,5.50818773134471e+006
24,1.44000000000000e+003,-2.01973644096549e+005,-4.16768478807600e+006,5.53070451616241e+006
25,1.50000000000000e+003,2.53046752063361e+005,-4.16667489135565e+006,5.52936433794930e+006
26,1.56000000000000e+003,7.06975618746076e+005,-4.14769183975893e+006,5.50417297762932e+006
27,1.62000000000000e+003,1.15785491169893e+006,-4.11081751760252e+006,5.45523909936089e+006
28,1.68000000000000e+003,1.60373974115393e+006,-4.05621098406920e+006,5.38277378180886e+006
29,1.74000000000000e+003,2.04270676120436e+006,-3.98410778709829e+006,5.28708960764633e+006
30,1.80000000000000e+003,2.47286246625099e+006,-3.89481894733813e+006,5.16859931521412e+006
31,1.86000000000000e+003,2.89235135873058e+006,-3.78872961654347e+006,5.02781401815389e+006
32,1.92000000000000e+003,3.29936395289488e+006,-3.66629741620452e+006,4.86534100069450e+006
33,1.98000000000000e+003,3.69214458011548e+006,-3.52805046357448e+006,4.68188109810200e+006
34,2.04000000000000e+003,4.06899896204585e+006,-3.37458509361002e+006,4.47822567359260e+006
35,2.10000000000000e+003,4.42830151897341e+006,-3.20656328665144e+006,4.25525320474892e+006
36,2.16000000000000e+003,4.76850238183672e+006,-3.02470981293829e+006,4.01392549416420e+006
37,2.22000000000000e+003,5.08813407766113e+006,-2.82980910627764e+006,3.75528352066002e+006
38,2.28000000000000e+003,5.38581785957478e+006,-2.62270188035069e+006,3.48044294897349e+006
39,2.34000000000000e+003,5.66026965410038e+006,-2.40428150225343e+006,3.19058931728315e+006
40,2.40000000000000e+003,5.91030560006859e+006,-2.17549013891418e+006,2.88697292333233e+006
41,2.46000000000000e+003,6.13484715526081e+006,-1.93731469301071e+006,2.57090343120900e+006
42,2.52000000000000e+003,6.33292574875347e+006,-1.69078254591753e+006,2.24374422204602e+006
43,2.58000000000000e+003,6.50368695889590e+006,-1.43695712604631e+006,1.90690651301030e+006
44,2.64000000000000e+003,6.64639419889965e+006,-1.17693332169572e+006,1.56184326994881e+006
45,2.70000000000000e+003,6.76043189414143e+006,-9.11832758197470e+005,1.21004293994981e+006
46,2.76000000000000e+003,6.84530813747423e+006,-6.42798959730871e+005,8.53023030853838e+005
47,2.82000000000000e+003,6.90065681109272e+006,-3.70992416675634e+005,4.92323565409840e+005
48,2.88000000000000e+003,6.92623916580022e+006,-9.75855797801672e+004,1.29500438312095e+005
49,2.94000000000000e+003,6.92194485086498e+006,1.76242197261775e+005,-2.33881295227242e+005
50,3.00000000000000e+003,6.88779239002340e+006,4.49309745010641e+005,-5.96254170419959e+005
51,3.06000000000000e+003,6.82392910157705e+006,7.20439173312920e+005,-9.56055074237401e+005
52,3.12000000000000e+003,6.73063046292794e+006,9.88460952187634e+005,-1.31173198797458e+006
53,3.18000000000000e+003,6.60829892229341e+006,1.25221895665082e+006,-1.66175068195839e+006
54,3.24000000000000e+003,6.45746216272610e+006,1.51057545371690e+006,-2.00460133352191e+006
55,3.30000000000000e+003,6.27877082592748e+006,1.76241601006524e+006,-2.33880503969799e+006
56,3.36000000000000e+003,6.07299570567318e+006,2.00665429920258e+006,-2.66292019653912e+006
57,3.42000000000000e+003,5.84102442295656e+006,2.24223678738512e+006,-2.97554871754620e+006
58,3.48000000000000e+003,5.58385759719234e+006,2.46814727808765e+006,-3.27534206438273e+006
59,3.54000000000000e+003,5.30260452999609e+006,2.68341129541670e+006,-3.56100706386045e+006
60,3.60000000000000e+003,4.99847842015772e+006,2.88710028755970e+006,-3.83131148610490e+006
61,3.66000000000000e+003,4.67279113044950e+006,3.07833563213840e+006,-4.08508935983885e+006
62,3.72000000000000e+003,4.32694752884212e+006,3.25629242618927e+006,-4.32124600185623e+006
63,3.78000000000000e+003,3.96243942853839e+006,3.42020304442256e+006,-4.53876273899132e+006
64,3.84000000000000e+003,3.58083915296437e+006,3.56936045041134e+006,-4.73670130221506e+006
65,3.90000000000000e+003,3.18379275347577e+006,3.70312124642750e+006,-4.91420787390414e+006
66,3.96000000000000e+003,2.77301290903535e+006,3.82090844876922e+006,-5.07051677082487e+006
67,4.02000000000000e+003,2.35027153848892e+006,3.92221397660817e+006,-5.20495374694506e+006
68,4.08000000000000e+003,1.91739215730709e+006,4.00660084362092e+006,-5.31693890182710e+006
69,4.14000000000000e+003,1.47624201176263e+006,4.07370504295071e+006,-5.40598918205669e+006
70,4.20000000000000e+003,1.02872402447285e+006,4.12323711736873e+006,-5.47172046491724e+006
71,4.26000000000000e+003,5.76768586050200e+005,4.15498340786196e+006,-5.51384921532194e+006
72,4.32000000000000e+003,1.22325228268536e+005,4.16880697526173e+006,-5.53219370885612e+006
73,4.38000000000000e+003,-3.32645785337078e+005,4.16464819093744e+006,-5.52667481565434e+006
74,4.44000000000000e+003,-7.86181915162525e+005,4.14252499400765e+006,-5.49731634173097e+006
75,4.50000000000000e+003,-1.23632681104469e+006,4.10253281395871e+006,-5.44424492629172e+006
76,4.56000000000000e+003,-1.68113875107304e+006,4.04484415900513e+006,-5.36768949546932e+006
77,4.62000000000000e+003,-2.11869901730165e+006,3.96970787196692e+006,-5.26798027483948e+006
78,4.68000000000000e+003,-2.54712017223234e+006,3.87744805687404e+006,-5.14554736497681e+006
79,4.74000000000000e+003,-2.96455420036816e+006,3.76846268092785e+006,-5.00091888619507e+006
80,4.80000000000000e+003,-3.36920047971821e+006,3.64322185785026e+006,-4.83471870047448e+006
81,4.86000000000000e+003,-3.75931354886816e+006,3.50226582002530e+006,-4.64766372040273e+006
82,4.92000000000000e+003,-4.13321063611301e+006,3.34620258818044e+006,-4.44056081673766e+006
83,4.98000000000000e+003,-4.48927891817469e+006,3.17570534865960e+006,-4.21430333793096e+006
84,5.04000000000000e+003,-4.82598247719379e+006,2.99150954960113e+006,-3.96986725662618e+006
85,5.10000000000000e+003,-5.14186892598592e+006,2.79440972854644e+006,-3.70830695975325e+006
86,5.16000000000000e+003,-5.43557567298454e+006,2.58525608516369e+006,-3.43075070037912e+006
87,5.22000000000000e+003,-5.70583579984596e+006,2.36495081387011e+006,-3.13839573093330e+006
88,5.28000000000000e+003,-5.95148352636326e+006,2.13444421217255e+006,-2.83250313880124e+006
89,5.34000000000000e+003,-6.17145923911595e+006,1.89473058151289e+006,-2.51439240656251e+006
90,5.40000000000000e+003,-6.36481406216400e+006,1.64684393830042e+006,-2.18543572033853e+006
